id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
389,2026-01-27,2026-01-27,closed,inspection,智慧巡视,220kV鹤溪变,220kV,,INSPECTION_MAINTENANCE,巡检维护,智能巡视辅控系统消缺 | 地点: 景宁,import_worklog,inspection:import_worklog:d16cac5d49966bd97a548d9d51816f5caaec1b7f55dd33b65c3ab5a84810ec99
38,2022-12-19,2022-12-19,closed,unified,统一平台,220kV海口变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,格式化硬盘后恢复正常,import_worklog,unified:import_worklog:4bf3ffa3a61ee4d8c9642ecc41ad52eebfea03b28685c50ad2f8282194d24a98
53,2023-02-21,2023-02-21,closed,unified,统一平台,110kV温溪变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,主控室1#、主控室2#网线被拔出，插上后恢复正常,import_worklog,unified:import_worklog:f5bc9ff81a8d5ca2b5c2fb24ee30febe23818f2109225c4a2c99eea8d741c860
57,2023-02-27,2023-02-27,closed,unified,统一平台,110kV张村变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,室外场地西、室外场地南摄像头故障，更换两个摄像头并调试后正常,import_worklog,unified:import_worklog:50652a0f4d7da31bd5e21747bd680304dd0b6ccae8a2b3af5f21861cc1bdb9a4
61,2023-03-02,2023-03-02,closed,unified,统一平台,110kV海潮变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,主控室4#摄像头故障，更换并调试后正常,import_worklog,unified:import_worklog:d09162798bf94c26dedf6a221ff8b6cfc4a6884e2840eeb3dd6543e75d19035e
63,2023-03-07,2023-03-07,closed,unified,统一平台,110kV景宁变,110kV,电容器室东侧-12#球机,INSTALLATION_DEBUG,施工/调试/接入,电容器室东侧-12#摄像头故障，更换调试后恢复正常,import_worklog,unified:import_worklog:3e0bc4990253d52df1986fa18faf77345aa71c5a531e15b0a7c2d16c9d0c06fd
64,2023-03-08,2023-03-08,closed,unified,统一平台,110kV桃园变,110kV,1#主变西南侧-1#球机,INSTALLATION_DEBUG,施工/调试/接入,1#主变西南侧-1#摄像头故障，更换光纤收发器并调试后恢复正常,import_worklog,unified:import_worklog:6dc81da50b977aecc19639942856b1441b07d4a080c9fe989ff6c0c10a8597c7
65,2023-03-09,2023-03-09,closed,unified,统一平台,110kV延庆变,110kV,110kV场地东北侧-1#球机,INSTALLATION_DEBUG,施工/调试/接入,110kV场地东北侧-1#摄像头故障，摄像机老化死机，现场设备调试优化后恢复正常,import_worklog,unified:import_worklog:82ef888dade2c1f524418a26de2ba479132b3eef85d7a659462b8656143c0c4c
66,2023-03-13,2023-03-13,closed,unified,统一平台,220kV松阳变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,1#、3#、4#、6#、8#、10#、25#摄像头故障，更换光纤收发器电源1台和7个光纤收发器后恢复正常,import_worklog,unified:import_worklog:c94dfaf9bfeabebca7c761402adb2d2c5770a0de37ee7ac44ffb59694a9533c6
67,2023-03-14,2023-03-14,closed,unified,统一平台,220kV仙都变,220kV,蓄电池室,INSTALLATION_DEBUG,施工/调试/接入,蓄电池室摄像头故障，更换调试后恢复正常,import_worklog,unified:import_worklog:a8cee52d31564f30f8d4ef06dd878172d96736a41013d2fccbc0ac5c2b29d3a9
68,2023-03-16,2023-03-16,closed,unified,统一平台,110kV云和变,110kV,蓄电池室东北侧,INSTALLATION_DEBUG,施工/调试/接入,蓄电池室东北侧摄像头故障，更换调试后恢复正常,import_worklog,unified:import_worklog:c7851beb827d0eb3a88093fcd5778eee1d3aa83682b4930a6bfe04932b8a519b
69,2023-03-17,2023-03-17,closed,unified,统一平台,220kV濛洲变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,1#主变东、1#主变西、35kV开关室西侧、2#主变北摄像头故障，更换光纤收发器电源1台后恢复正常,import_worklog,unified:import_worklog:953fa5198361261d52d9bdf5c80dac0446c2874a054e10b6d793f7953f99d800
70,2023-03-21,2023-03-21,closed,unified,统一平台,220kV睦田变,220kV,35kV开关室,INSTALLATION_DEBUG,施工/调试/接入,1#主变东侧、2#主变南侧、220kV场地西侧、35kV开关室摄像头故障，更换光纤收发器电源1台和2对光纤收发器后恢复正常,import_worklog,unified:import_worklog:963da64413b16bb8be1d62ab49a9033a5be3567d2313bbf447678c30b102fe19
72,2023-03-22,2023-03-22,closed,unified,统一平台,110kV芳野变,110kV,蓄电池室,INSTALLATION_DEBUG,施工/调试/接入,主控室、蓄电池室摄像头故障，更换并调试后正常,import_worklog,unified:import_worklog:fcfda4a34255640cf4d5e68dcabf6062b6eda1ca005de5c5acc32587b77d32c7
