bucket,id,created_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description
obvious_delete,98,2023-06-05,closed,unified,统一平台,110kV东源变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,99,2023-06-05,closed,unified,统一平台,110kV油竹变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,100,2023-06-06,closed,unified,统一平台,110kV高湖变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,101,2023-06-06,closed,unified,统一平台,110kV侨乡变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,102,2023-06-07,closed,unified,统一平台,220kV海口变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,103,2023-06-12,closed,unified,统一平台,220kV宏山变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,104,2023-06-13,closed,unified,统一平台,220kV鹤溪变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,105,2023-06-14,closed,unified,统一平台,220kV遂昌变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,106,2023-06-15,closed,unified,统一平台,220kV松阳变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,107,2023-06-19,closed,unified,统一平台,220kV濛洲变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,109,2023-06-27,closed,unified,统一平台,220kV金亭变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,110,2023-06-28,closed,unified,统一平台,110kV海潮变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,111,2023-06-29,closed,unified,统一平台,220kV丽水变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,112,2023-07-03,closed,unified,统一平台,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,147,2023-08-23,closed,unified,统一平台,220kV金亭变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,远程智慧监控系统调试
obvious_delete,194,2024-01-19,closed,unified,统一平台,110kV岩泉变,110kV,电容器智能投切装置室,INSTALLATION_DEBUG,施工/调试/接入,电容器智能投切装置室摄像机已拆除，无需更换
obvious_delete,227,2024-05-20,closed,inspection,智慧巡视,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,永都间隔道路旁摄像机拆除
obvious_delete,235,2024-06-13,closed,inspection,智慧巡视,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,永都间隔道路旁摄像机复原
obvious_delete,328,2025-05-07,closed,unified,统一平台,220kV枫树变,220kV,35kV开关室西侧-15#球机,INSTALLATION_DEBUG,施工/调试/接入,35kV开关室西侧15#摄像机调试
obvious_delete,333,2025-06-09,closed,unified,统一平台,110kV港头变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,场地3、6号立杆摄像机配合电建改造拆除
obvious_delete,348,2025-08-06,closed,inspection,智慧巡视,110kV张村变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入
obvious_delete,349,2025-08-07,closed,inspection,智慧巡视,110kV碧湖变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入
obvious_delete,350,2025-08-08,closed,inspection,智慧巡视,110kV四都变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入
obvious_delete,361,2025-09-09,closed,inspection,智慧巡视,220kV枫树变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,智巡系统接入、调试
obvious_delete,108,2023-06-26,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控系统网络优化提升现场勘察
obvious_delete,148,2023-09-01,closed,unified,统一平台,110kV温溪变,110kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,现场勘察
obvious_delete,221,2024-04-27,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,市公司上传故障现场勘察
obvious_delete,236,2024-06-18,closed,unified,统一平台,220kV河阳变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,全站离线现场勘察
obvious_delete,280,2024-10-28,closed,unified,统一平台,110kV椤林变,110kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控验收
obvious_delete,292,2024-11-26,closed,unified,统一平台,220kV汤公变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控验收
obvious_delete,371,2025-11-17,closed,unified,统一平台,220kV仙宫变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,1-2#电容器室东侧32#摄像机故障现场勘查
obvious_delete,382,2025-12-10,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,现场勘察
review,38,2022-12-19,closed,unified,统一平台,220kV海口变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,格式化硬盘后恢复正常
review,53,2023-02-21,closed,unified,统一平台,110kV温溪变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,主控室1#、主控室2#网线被拔出，插上后恢复正常
review,57,2023-02-27,closed,unified,统一平台,110kV张村变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,室外场地西、室外场地南摄像头故障，更换两个摄像头并调试后正常
review,61,2023-03-02,closed,unified,统一平台,110kV海潮变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,主控室4#摄像头故障，更换并调试后正常
review,63,2023-03-07,closed,unified,统一平台,110kV景宁变,110kV,电容器室东侧-12#球机,INSTALLATION_DEBUG,施工/调试/接入,电容器室东侧-12#摄像头故障，更换调试后恢复正常
review,64,2023-03-08,closed,unified,统一平台,110kV桃园变,110kV,1#主变西南侧-1#球机,INSTALLATION_DEBUG,施工/调试/接入,1#主变西南侧-1#摄像头故障，更换光纤收发器并调试后恢复正常
