fault_id,project_code,station_id,station_name,created_at,closed_at,current_camera_id,current_camera_slot_id,current_camera_location_text,source_text,parsed_location_hint,derived_location_hint,match_status,target_slot_id,target_camera_id,target_slot_code,target_slot_location_desc,target_camera_location_desc,target_channel_number,target_project_device_code,target_score,ambiguous_options
200,unified,75,220kV濛洲变,2024/3/4,2024/3/4,,,35kV开关室西南侧,35kV开关室西南侧摄像机故障更换,,35kV开关室西南侧,matched,1646,1646,LEGACY_unified_75_16_35kV开关室西南侧-16#球机_11198fee9b,35kV开关室西南侧-16#球机,35kV开关室西南侧-16#球机,16,16,13,
201,unified,20,110kV壶镇变,2024/3/6,2024/3/6,,,电容器室东南侧,电容器室东南侧摄像机故障更换,,电容器室东南侧,matched,408,408,LEGACY_unified_20_40_电容器室东南侧-8#球机_3cfe085944,电容器室东南侧-8#球机,电容器室东南侧-8#球机,8,8,9,
202,unified,66,110kV水阁变,2024/3/6,2024/3/6,,,10kV开关室东南侧,10kV开关室东南侧摄像机故障更换,,10kV开关室东南侧,matched,1397,1397,LEGACY_unified_66_43_10kV开关室东南侧-11#球机_c0e30ca5e4,10kV开关室东南侧-11#球机,10kV开关室东南侧-11#球机,11,11,13,
203,unified,59,220kV仙都变,2024/3/11,2024/3/11,,,35kV开关室西北侧,35kV开关室西北侧摄像机故障更换,,35kV开关室西北侧,matched,1166,1166,LEGACY_unified_59_22_35kV开关室西北侧-25#_光球_dad165538c,35kV开关室西北侧-25#（光球）,35kV开关室西北侧-25#（光球）,22,22,15,
206,unified,62,110kV张村变,2024/3/14,2024/3/14,,,2#主变东南侧,2#主变东南侧摄像机故障更换,,2#主变东南侧,matched,1248,1248,LEGACY_unified_62_36_2#主变东南侧-4#球机_80fd7846df,2#主变东南侧-4#球机,2#主变东南侧-4#球机,4,4,9,
208,unified,76,220kV睦田变,2024/3/18,2024/3/18,,,,2#主变东侧-4#摄像机故障更换,,2#主变东侧,unresolved,,,,,,,,,
209,unified,29,110kV黄龙变,2024/3/19,2024/3/19,,,室外大门,室外大门摄像机故障更换,,室外大门,matched,621,621,LEGACY_unified_29_40_室外大门-9#球机_1d5bb3f6a3,室外大门-9#球机,室外大门-9#球机,8,8,6,
210,unified,68,220kV海口变,2024/3/20,2024/3/20,,,3#电容器南侧,3#电容器南侧摄像机故障更换,,3#电容器南侧,matched,1457,1457,LEGACY_unified_68_28_3#电容器南侧_补强_-35#球_43120f61ec,3#电容器南侧（补强）-35#球,3#电容器南侧（补强）-35#球,28,28,13,
211,unified,47,110kV油竹变,2024/3/25,2024/3/25,,,2#主变西南侧,2#主变西南侧摄像机故障更换,,2#主变西南侧,matched,954,954,LEGACY_unified_47_37_2#主变西南侧-5#球机_a4156694b8,2#主变西南侧-5#球机,2#主变西南侧-5#球机,5,5,9,
212,unified,76,220kV睦田变,2024/3/27,2024/3/27,,,1#主变北侧,1#主变北侧摄像机故障更换,,1#主变北侧,matched,1661,1661,LEGACY_unified_76_37_1#主变北侧-5#球机_f2aa6c241f,1#主变北侧-5#球机,1#主变北侧-5#球机,5,5,8,
